@relation performance-counters

@attribute BRANCH_INSTRUCTIONS_RETIRED numeric
@attribute CACHE-REFERENCES numeric
@attribute CYCLES numeric
@attribute INSTRUCTION_RETIRED numeric
@attribute INSTRUCTIONS numeric
@attribute LLC_MISSES numeric
@attribute LLC_REFERENCES numeric
@attribute MAJOR-FAULTS numeric
@attribute MINOR-FAULTS numeric
@attribute MISPREDICTED_BRANCH_RETIRED numeric
@attribute UNHALTED_CORE_CYCLES numeric
@attribute UNHALTED_REFERENCE_CYCLES numeric
@attribute class {M0,M1,M2,M3}

@data
82503770,448960,252510125,666752107,334462342,347526,890885,0,90,264199,315250249,14,M3
161147181,463011,254556337,326347988,326417742,357692,923797,0,100,288641,159223081,14,M3
130645886,932551,252685779,519653040,649582298,180341,467122,0,101,280604,157882847,14,M3
163807560,463672,250448069,650149611,649497585,351221,461671,0,94,273527,156761617,7,M3
81510529,940706,251946212,659339404,658862421,177066,467753,0,96,266549,314877981,14,M3
82554733,913883,251816517,332235403,664147965,175671,461496,0,96,258965,313971976,7,M3
164184556,449432,250907498,326072049,651727112,353803,453691,0,92,284621,156770950,7,M3
162827977,958054,251372222,323463757,324742691,175642,958091,0,98,266953,156899601,14,M3
81960606,935123,249618602,648864843,648380779,176997,470911,0,96,270759,312026389,14,M3
80774192,953979,252376336,639021338,638936011,184156,475855,0,103,262523,315536846,14,M3
46861163,1935406,217880562,195152007,389864144,165752,967201,0,9,1456391,136343366,6,M3
46808196,1934162,217302053,195175007,390114016,166536,969448,0,8,1450741,136092913,6,M3
93274357,968290,216750911,194030964,193668178,330599,968707,0,8,1446947,135772003,6,M3
46557339,963563,217495147,387479064,194072492,328527,960965,0,9,1452433,135648447,13,M3
46639983,1941716,217123350,194280727,388106474,165151,966232,0,8,1450852,271587141,6,M3
93825122,964623,216852712,389661764,194489768,331218,1937495,0,9,1441101,135826891,6,M3
93569545,969435,218128271,194891092,194886723,331254,1936924,0,8,1449848,136252708,6,M3
46747988,1924679,217257930,390063535,388529281,165486,966852,0,9,1445801,272416087,13,M3
47001087,1941698,218206737,195846941,390801554,166807,974705,0,8,1464370,272879830,6,M3
93371226,956440,216889371,194482655,194223387,331087,959158,0,8,1442424,135809512,6,M3
93750489,969142,217456412,195379465,194838694,166459,975571,0,8,1465993,136372144,6,M3
47460687,1968357,219970489,197653271,394521986,168768,982123,0,8,1470329,275279015,6,M3
46778022,1931454,217852067,194377593,194467421,165090,968337,0,8,1441511,272112957,13,M3
46670903,962131,217678357,193843854,194476967,329996,1935242,0,9,1448766,271584904,6,M3
46853876,977475,218119941,194826037,195254323,330581,977506,0,8,1449669,136246235,6,M3
92864949,968276,215919699,193391990,193280666,329179,1934510,0,9,1438392,135045433,6,M3
93913559,968057,218806786,195005714,195192166,166197,1941495,0,9,1454972,136646873,6,M3
46999218,1931750,217690838,194621424,194830583,166175,1947324,0,9,1458535,271422123,6,M3
46746410,977575,219376163,195079441,194919932,165390,1946376,0,9,1462497,137206063,6,M3
93722824,1952103,218975845,194990706,195245649,165664,977750,0,8,1461467,136629872,6,M3
46979803,1933950,218777241,195255258,195912195,165764,969959,0,8,1459942,273078398,6,M3
47371786,1947094,219780253,197202121,393524556,167330,971026,0,9,1468315,274893549,6,M3
46556392,1959925,217799431,193198442,387598575,165217,982152,0,9,1455160,135811202,6,M3
46993928,975273,219396353,195598317,196035133,167150,1956048,0,9,1449514,136935668,6,M3
94348934,978164,218474378,196356576,391035233,335305,981367,0,8,1455040,136784883,6,M3
47050799,1950899,218113720,390195717,195359327,165975,976817,0,8,1454339,136119958,13,M3
46890267,972000,219305818,195783839,196038471,331570,1940133,0,8,1453789,137013660,13,M3
46623721,961228,216854286,194261461,193963491,164604,1906693,0,8,1444252,135844932,6,M3
47407919,1979745,220539665,394283691,197127979,167682,1973706,0,9,1473379,275615798,13,M3
47218641,980956,220009419,392543933,392493976,166293,976895,0,9,1462692,275368087,6,M3
93683110,976766,218598741,195522034,195401358,332859,1949973,0,8,1462143,136845773,13,M3
46692093,1925724,217711966,387316428,194508187,165597,1915083,0,8,1454312,271247364,13,M3
46943383,967743,218537696,421564858,195358001,166344,966562,0,9,1451289,272590530,13,M3
47074392,1945824,218028870,389641286,390013259,165855,976361,0,9,1450109,272407943,6,M3
46775458,973147,218477680,391394891,195526108,330794,970045,0,9,1452609,273844270,13,M3
46686500,961967,216618658,193697239,193872217,329215,1921956,0,9,1445988,135250473,6,M3
46470936,1924655,216348052,310154900,193773218,164922,1555280,0,8,1447230,216453731,12,M3
47003391,983309,219122308,195312961,390576564,332688,979235,0,9,1467115,136968235,6,M3
46993817,1955433,219512963,390288647,390881488,165058,973979,0,8,1456901,274527266,6,M3
46380863,1926676,216637531,386044261,386112812,164132,961286,0,9,1440565,135455845,6,M3
46886470,1953914,217815546,388937991,389587041,165607,981410,0,9,1445985,272291974,6,M3
93393177,969333,218462321,194869723,195175944,330813,1933429,0,8,1448679,136481309,6,M3
94305391,975441,219898809,196154958,196033868,333412,1950249,0,9,1461933,137522335,6,M3
75315865,976521,218932998,314037114,196294766,333358,1946861,0,8,1452605,136819016,13,M3
47002378,972850,219154964,195479789,195293342,166239,971748,0,9,1470281,273980673,6,M3
46412450,1920431,217169199,387868578,386939463,165056,963441,0,8,1450581,135930703,6,M3
46852447,1951105,218610283,194713350,389404589,164447,973742,0,8,1461163,273265849,6,M3
47454217,1995484,222083666,197931632,395807053,168229,995791,0,9,1480353,277614379,6,M3
46999380,1960347,218848330,196007707,390746913,167112,985291,0,8,1461533,137083675,6,M3
47192481,986146,219339488,390964143,195782699,333403,1973138,0,8,1457715,273674628,13,M3
21305737,1043730,138081744,101143205,206083163,53760,490454,0,152,688062,174465430,14,M0
43093129,992798,136236323,198002231,199352510,56670,511610,0,151,689745,85596258,6,M0
21627939,993064,138483393,194560424,103209530,54118,919339,0,152,650237,165514527,13,M0
21892341,1010593,134607549,194125023,197073663,56873,518601,0,151,691494,167362719,13,M0
42570186,488236,137604818,98788241,201984752,105231,479418,0,145,679734,84833026,6,M0
21659804,993982,135335982,101078126,202328606,54403,500048,0,152,682139,171972492,6,M0
42569483,521392,138308557,98715098,102976580,106999,950865,0,149,704844,84934292,14,M0
21951149,967427,138025786,201327588,204726936,54947,501779,0,151,627511,170272822,13,M0
21359964,975608,134798601,98155049,199091307,52109,476807,0,148,679791,165949664,6,M0
21442041,953019,131470946,200517884,194704892,53261,486446,0,150,673056,168128970,13,M0
22002716,941930,132805955,99615336,195945544,53835,485376,0,151,685064,166769642,6,M0
42611391,504386,137076472,97893923,97695097,107537,1005807,0,148,672997,84456545,13,M0
20891005,947672,133450703,194053766,99160524,52537,923073,0,145,659813,164684850,13,M0
21983401,1051844,140642615,202621522,204980147,54155,504654,0,151,697317,172698785,6,M0
21224919,1090483,145068221,166122344,214860353,54782,827877,0,154,648750,139149071,13,M0
21725697,964347,131566499,204881494,195241943,52552,512669,0,151,659294,168769804,6,M0
22665355,1002797,141255227,198073140,209675387,52470,476883,0,155,709358,171913211,14,M0
22255831,1019738,138229986,191648983,200479674,58502,523689,0,148,725974,167904573,14,M0
22266962,1003541,141521587,199561677,208488702,56975,499598,0,155,682732,173370968,13,M0
21402784,1002345,138146152,204079334,207343949,53365,471621,0,149,686703,174512791,6,M0
22469768,994054,138754389,200665617,103585007,57450,507276,0,154,705608,168654983,14,M0
22639372,503603,144104382,197287139,103979306,115682,1006523,0,155,709519,170407082,14,M0
22104647,983434,137073814,201052275,101886181,52124,981417,0,151,684616,171203317,14,M0
22456450,1050667,143413520,204986784,105488797,54654,1001461,0,155,707635,173835934,14,M0
21828353,1005401,135951068,193026383,200849474,51775,479786,0,146,644619,163048925,6,M0
22009179,956849,137160442,206101989,200119882,56909,508338,0,152,684440,171562633,13,M0
21735577,996922,134179928,95932315,197256115,55462,497692,0,149,655342,82033398,6,M0
